round,alive_nodes,energy_consumed,cum_energy,sod_trigger_ratio,energy_efficiency,avg_trust,pdr,delay,routing_overhead
47,30,0.0004895852427713131,0.042323857705493,0.06666666666666667,0.9991968423715766,0.6678010207814407,0.9096446771203919,13.228919143295785,0.28804702413531713
48,30,0.0001617739544474325,0.04248563165994044,0.06666666666666667,0.9991917194723355,0.6710113839325041,0.8684693562199267,28.616868423984386,0.27901648477209884
49,30,0.0,0.04248563165994044,0.0,0.9991891194723357,0.6664474895564733,0.9566058585530965,32.33691268117147,0.17198281815738306
50,30,0.0002651851177042526,0.04275081677764469,0.03333333333333333,0.9991821863870406,0.6708508513336787,0.9462016265112139,41.859824242254014,0.24832374674307614
51,30,0.0,0.04275081677764469,0.0,0.9991795863870407,0.6608182879370924,0.8562326876559319,25.986783896856473,0.131077175846062
52,30,0.0,0.04275081677764469,0.0,0.999176986387041,0.6655718123998005,0.87939181999679,44.59803597521407,0.22637059577137122
53,30,0.0003891635193274339,0.04313998029697212,0.13333333333333333,0.9991682469950521,0.6665210630265462,0.8510435777839095,45.48518698790981,0.275977082091878
54,30,0.0012652814155865474,0.044405261712558666,0.16666666666666666,0.9991449923047925,0.6772704343872539,0.8721201282889435,14.369419905254258,0.17671232619976193
55,30,0.00042349918679535607,0.044828760899354024,0.1,0.9991355939850124,0.6753906045353425,0.9092518151489862,45.36313608607858,0.2562711748027151
56,30,0.0004064112824744685,0.045235172181828494,0.13333333333333333,0.9991265671303046,0.6640217013732267,0.9299021290959604,18.51353773044405,0.2018624490323972
57,30,0.0004009424199014574,0.04563611460172995,0.13333333333333333,0.9991176314233062,0.6601339806451011,0.9210259961898303,43.94961505886399,0.25652052797021674
58,30,0.0005551017435658556,0.046191216345295806,0.16666666666666666,0.9991062130609135,0.6659559346205621,0.9084152697191632,32.57318740344998,0.20922265175603982
59,30,0.0003839605849988604,0.046575176930294664,0.06666666666666667,0.9990973870511632,0.6678300832147148,0.863629244205382,26.51993409671787,0.2418552360948918
60,30,0.0010913823740815068,0.04766655930437617,0.23333333333333334,0.9990772040115955,0.6681260327724589,0.8502159032460406,21.147779656059235,0.180385089384518
