nodes,noise,vs,metric,trust_mean,trust_ci_lo,trust_ci_hi,base_mean,base_ci_lo,base_ci_hi,diff_mean,diff_ci_lo,diff_ci_hi
100,0.0,greedy,delay,0.060529765392013254,0.05789025741283793,0.0632784755148241,0.05910108323049492,0.056883371530430285,0.06142624434389132,0.001428682161518334,-0.002024132098135921,0.004952278612395418
100,0.0,greedy,txrx,0.545154971904515,0.5319725800028416,0.5559012859218502,0.5502156999032024,0.5361959209033639,0.5605921838921228,-0.005060727998687398,-0.02276917587394995,0.013085979422830156
100,0.2,leach,pdr,0.27856225827882986,0.25259339081013904,0.30633288564684447,0.05858730163636329,0.04120847329182366,0.07723800740059668,0.21997495664246658,0.1874851123509107,0.25253009598427123
100,0.2,leach,delay,0.060485914401749385,0.05792942955326454,0.06305745454545444,0.07194039644565958,0.06520865800865802,0.07867213488266116,-0.011454482043910197,-0.018955904280617195,-0.004326702298388938
100,0.2,leach,txrx,0.5506083324746038,0.5360714917336655,0.5617385380823761,0.6310969070918911,0.6049097296294883,0.6549816299125583,-0.08048857461728731,-0.10848922160696699,-0.05148932392360054
100,0.2,heed,pdr,0.27856225827882986,0.25259339081013904,0.30633288564684447,0.00385913204678238,0.00064935064935064,0.00706891344421412,0.27470312623204746,0.24753269655766916,0.3025046925469217
100,0.2,heed,delay,0.060485914401749385,0.05792942955326454,0.06305745454545444,0.048666666666666664,0.014000000000000002,0.08333333333333333,0.011819247735082722,-0.022862840268666085,0.046441538519212684
100,0.2,heed,txrx,0.5506083324746038,0.5360714917336655,0.5617385380823761,0.6262691608531396,0.6114045011357194,0.6411338205705597,-0.07566082837853572,-0.09514590075791947,-0.05661701815736431
100,0.2,greedy,pdr,0.27856225827882986,0.25259339081013904,0.30633288564684447,0.24005118431606975,0.20854878648851746,0.2626465209541318,0.0385110739627601,0.0004416429894243956,0.07944474579568678
100,0.2,greedy,delay,0.060485914401749385,0.05792942955326454,0.06305745454545444,0.05813151130375462,0.0564027856569964,0.05977442346296484,0.002354403097994763,-0.0006540378511229307,0.005530820017474833
100,0.2,greedy,txrx,0.5506083324746038,0.5360714917336655,0.5617385380823761,0.5529956051105247,0.5372972718392752,0.5627355873674543,-0.0023872726359208674,-0.020491522971925025,0.016679321072666915
200,0.0,leach,pdr,0.40438300294537405,0.3832034108451499,0.435409103321144,0.198781028414956,0.18045790603863215,0.21157757397151458,0.20560197453041804,0.17773645191049484,0.23923615250432667
200,0.0,leach,delay,0.059724890732712296,0.058883397004034166,0.060566384461390434,0.06623169124702619,0.06545734827304249,0.0670060342210099,-0.00650680051431389,-0.007638513736377514,-0.0053620611594604305
200,0.0,leach,txrx,17.589791648382977,17.303956015277265,17.84594154400188,18.79969883364598,18.57516696595718,19.086720167537088,-1.2099071852630026,-1.5823073113894388,-0.8611767007779711
200,0.0,heed,pdr,0.40438300294537405,0.3832034108451499,0.435409103321144,0.09981940216768284,0.08847435606869304,0.11313286899965211,0.3045636007776912,0.2784647437607915,0.3372924007742142
200,0.0,heed,delay,0.059724890732712296,0.058883397004034166,0.060566384461390434,0.06963029754707177,0.06849492922987546,0.07080977074483513,-0.009905406814359474,-0.01140300480602945,-0.008450497756065684
200,0.0,heed,txrx,17.589791648382977,17.303956015277265,17.84594154400188,18.99807882069026,18.69306366506833,19.26130224183648,-1.4082871723072827,-1.7766809873418155,-1.0269845641889397
